id,title,author,publisher,quantity,created_at,category_id
26,The Da Vinci Code,Dan Brown,Personal,28,2024-06-05 21:02:54,12
27,Harry Potter and the Half-Blood Prince,"J.K. Rowling, Mary GrandPré",Personal,79,2024-06-05 21:02:54,4
28,Lord of the Flies ,William Golding,Personal,45,2024-06-05 21:02:54,4
29,An Excellent conceited Tragedie of Romeo and Juliet,"William Shakespeare, Robert           Jackson",Personal,27,2024-06-05 21:02:54,4
30,Gone Girl,Gillian Flynn,Personal,24,2024-06-05 21:02:54,4
31,The Help,Kathryn Stockett,Personal,41,2024-06-05 21:02:54,9
32,Of Mice and Men ,John Steinbeck,Personal,29,2024-06-05 21:02:54,3
33,Memoirs of a Geisha,Arthur Golden,Personal,69,2024-06-05 21:02:54,5
34,Fifty Shades of Grey,E.L. James,Personal,74,2024-06-05 21:02:54,5
35,O Alquimista,"Paulo Coelho, Alan R. Clarke",Personal,75,2024-06-05 21:02:54,10
36,The Giver,Lois Lowry,Personal,64,2024-06-05 21:02:54,9
37,"The Lion, the Witch and the Wardrobe",C.S. Lewis,Personal,59,2024-06-05 21:02:54,12
38,The Time Traveler's Wife,Audrey Niffenegger,Personal,74,2024-06-05 21:02:54,9
39,A Game of Thrones,George R.R. Martin,Personal,66,2024-06-05 21:02:54,7
40,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",Elizabeth Gilbert,Personal,17,2024-06-05 21:02:54,10
41,The Lightning Thief,Rick Riordan,Personal,75,2024-06-05 21:02:54,2
42,Little Women,Louisa May Alcott,Personal,68,2024-06-05 21:02:54,11
43,Jane Eyre,"Charlotte Brontë, Michael Mason",Personal,29,2024-06-05 21:02:54,1
44,The Notebook,Nicholas Sparks,Personal,70,2024-06-05 21:02:54,6
45,Life of Pi,Yann Martel,Personal,43,2024-06-05 21:02:54,5
46,Water for Elephants,Sara Gruen,Personal,53,2024-06-05 21:02:54,1
47,The Book Thief,Markus Zusak,Personal,50,2024-06-05 21:02:54,7
48,Fahrenheit 451,Ray Bradbury,Personal,75,2024-06-05 21:02:54,5
49,"New Moon (Twilight, #2)",Stephenie Meyer,Personal,78,2024-06-05 21:02:54,4
50,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,Shel Silverstein,Personal,63,2024-06-05 21:02:54,9
51,City of Bones,Cassandra Clare,Personal,74,2024-06-05 21:02:54,3
52,Eclipse,Stephenie Meyer,Personal,79,2024-06-05 21:02:54,6
53,Eragon,Christopher Paolini,Personal,45,2024-06-05 21:02:54,9
54,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Personal,60,2024-06-05 21:02:54,8
55,Brave New World,Aldous Huxley,Personal,40,2024-06-05 21:02:55,8
56,Breaking Dawn,Stephenie Meyer,Personal,28,2024-06-05 21:02:55,3
57,The Secret Life of Bees,Sue Monk Kidd,Personal,73,2024-06-05 21:02:55,12
58,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",Personal,38,2024-06-05 21:02:55,12
59,Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells",Personal,19,2024-06-05 21:02:55,6
60,The Curious Incident of the Dog in the Night-Time,Mark Haddon,Personal,32,2024-06-05 21:02:55,6
61,The Girl on the Train,Paula Hawkins,Personal,73,2024-06-05 21:02:55,12
62,Northern Lights,Philip Pullman,Personal,60,2024-06-05 21:02:55,2
63,Wuthering Heights,"Emily Brontë, Richard J. Dunn",Personal,21,2024-06-05 21:02:55,5
64,My Sister's Keeper,Jodi Picoult,Personal,31,2024-06-05 21:02:55,11
65,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",Kurt Vonnegut Jr.,Personal,31,2024-06-05 21:02:55,12
66,Gone with the Wind,Margaret Mitchell,Personal,48,2024-06-05 21:02:55,6
67,A Thousand Splendid Suns,Khaled Hosseini,Personal,38,2024-06-05 21:02:55,5
68,The Perks of Being a Wallflower,Stephen Chbosky,Personal,59,2024-06-05 21:02:55,12
69,Insurgent,Veronica Roth,Personal,56,2024-06-05 21:02:55,3
70,Ender's Game,Orson Scott Card,Personal,43,2024-06-05 21:02:55,8
71,"Frankenstein; or, The Modern Prometheus","Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",Personal,70,2024-06-05 21:02:55,1
72,The Shining,Stephen King,Personal,32,2024-06-05 21:02:55,7
73,The Host,Stephenie Meyer,Personal,63,2024-06-05 21:02:55,11
74,Looking for Alaska,John Green,Personal,17,2024-06-05 21:02:55,10
75,UNKNOWN_74,Helen Fielding,Personal,24,2024-06-05 21:02:55,12
76,Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster",Personal,75,2024-06-05 21:02:55,8
77,Holes,"Louis Sachar, Louis Sachar",Personal,61,2024-06-05 21:02:55,7
78,The Devil Wears Prada,Lauren Weisberger,Personal,75,2024-06-05 21:02:55,7
79,Ὀδύσσεια,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",Personal,60,2024-06-05 21:02:55,1
80,Le Petit Prince,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",Personal,15,2024-06-05 21:02:55,6
81,The Glass Castle,Jeannette Walls,Personal,31,2024-06-05 21:02:55,11
82,Into the Wild,Jon Krakauer,Personal,34,2024-06-05 21:02:55,12
83,A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",Personal,56,2024-06-05 21:02:55,7
84,Jurassic Park,Michael Crichton,Personal,30,2024-06-05 21:02:55,9
85,The Giving Tree,Shel Silverstein,Personal,45,2024-06-05 21:02:55,3
86,A Time to Kill,John Grisham,Personal,61,2024-06-05 21:02:55,4
87,Un di Velt Hot Geshvign,"Elie Wiesel, Marion Wiesel",Personal,60,2024-06-05 21:02:55,12
88,Paper Towns,John Green,Personal,78,2024-06-05 21:02:55,5
89,The Princess Bride,William Goldman,Personal,67,2024-06-05 21:02:55,3
90,The Outsiders,S.E. Hinton,Personal,67,2024-06-05 21:02:55,10
91,The Maze Runner,James Dashner,Personal,23,2024-06-05 21:02:55,11
92,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"Steven D. Levitt, Stephen J. Dubner",Personal,73,2024-06-05 21:02:55,7
93,The Secret Garden,Frances Hodgson Burnett,Personal,34,2024-06-05 21:02:55,9
94,Cien años de soledad,"Gabriel García Márquez, Gregory Rabassa",Personal,52,2024-06-05 21:02:55,10
95,The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides",Personal,23,2024-06-05 21:02:55,5
96,Fifty Shades Freed,E.L. James,Personal,65,2024-06-05 21:02:55,5
97,Dracula,"Bram Stoker, Nina Auerbach, David J. Skal",Personal,75,2024-06-05 21:02:55,12
98,Flickan som lekte med elden,"Stieg Larsson, Reg Keeland",Personal,48,2024-06-05 21:02:55,9
99,Fifty Shades Darker,E.L. James,Personal,17,2024-06-05 21:02:55,5
100,The Poisonwood Bible,Barbara Kingsolver,Personal,42,2024-06-05 21:02:55,10
101,Me Talk Pretty One Day,David Sedaris,Personal,21,2024-06-05 21:02:55,6
102,Where the Wild Things Are,Maurice Sendak,Personal,34,2024-06-05 21:02:55,5
103,Le Comte de Monte-Cristo,"Alexandre Dumas, Robin Buss",Personal,52,2024-06-05 21:02:55,11
104,The Road,Cormac McCarthy,Personal,47,2024-06-05 21:02:55,7
105,Allegiant,Veronica Roth,Personal,13,2024-06-05 21:02:55,9
106,Bossypants,Tina Fey,Personal,59,2024-06-05 21:02:55,10
107,A Walk to Remember,Nicholas Sparks,Personal,38,2024-06-05 21:02:55,2
108,Confessions of a Shopaholic,Sophie Kinsella,Personal,68,2024-06-05 21:02:55,2
109,Les Misérables,"Victor Hugo, Lee Fahnestock, Norman MacAfee",Personal,71,2024-06-05 21:02:55,8
110,A Clash of Kings,George R.R. Martin,Personal,63,2024-06-05 21:02:55,4
111,The Memory Keeper's Daughter,Kim Edwards,Personal,40,2024-06-05 21:02:55,9
112,Me Before You,Jojo Moyes,Personal,80,2024-06-05 21:02:55,3
113,Catch-22,Joseph Heller,Personal,29,2024-06-05 21:02:55,6
114,Tuesdays with Morrie,"Mitch Albom, Saulius Dagys",Personal,31,2024-06-05 21:02:55,4
115,Middlesex,Jeffrey Eugenides,Personal,66,2024-06-05 21:02:55,9
116,The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye",Personal,36,2024-06-05 21:02:55,5
117,A Wrinkle in Time,Madeleine L'Engle,Personal,36,2024-06-05 21:02:55,11
118,The Joy Luck Club,Amy Tan,Personal,76,2024-06-05 21:02:55,4
119,The Handmaid's Tale,Margaret Atwood,Personal,50,2024-06-05 21:02:55,5
120,The Sisterhood of the Traveling Pants,Ann Brashares,Personal,10,2024-06-05 21:02:55,11
121,Lolita,"Vladimir Nabokov, Craig Raine",Personal,59,2024-06-05 21:02:55,8
122,Wicked: The Life and Times of the Wicked Witch of the West,"Gregory Maguire, Douglas Smith",Personal,30,2024-06-05 21:02:55,4
123,The Firm,John Grisham,Personal,57,2024-06-05 21:02:55,6
124,Room,Emma Donoghue,Personal,49,2024-06-05 21:02:55,2
125,"The Tragicall Historie of Hamlet, Prince of Denmark","William Shakespeare, Richard Andrews, Rex Gibson",Personal,52,2024-06-05 21:02:55,3
126,Dune,Frank Herbert,Personal,60,2024-06-05 21:02:55,12
127,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,Personal,67,2024-06-05 21:02:55,4
128,Steve Jobs,Walter Isaacson,Personal,27,2024-06-05 21:02:55,12
129,One Flew Over the Cuckoo's Nest,Ken Kesey,Personal,70,2024-06-05 21:02:55,10
130,The Old Man and the Sea,Ernest Hemingway,Personal,75,2024-06-05 21:02:55,7
131,The Grapes of Wrath,John Steinbeck,Personal,36,2024-06-05 21:02:55,2
132,The Five People You Meet in Heaven,Mitch Albom,Personal,56,2024-06-05 21:02:55,10
133,Anne of Green Gables,L.M. Montgomery,Personal,29,2024-06-05 21:02:55,6
134,City of Glass,Cassandra Clare,Personal,57,2024-06-05 21:02:55,9
135,A Storm of Swords,George R.R. Martin,Personal,45,2024-06-05 21:02:55,5
136,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,Personal,47,2024-06-05 21:02:55,11
137,Outlander,Diana Gabaldon,Personal,19,2024-06-05 21:02:55,2
138,The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",Personal,26,2024-06-05 21:02:55,9
139,Miss Peregrine’s Home for Peculiar Children,Ransom Riggs,Personal,14,2024-06-05 21:02:55,2
140,Luftslottet som sprängdes,"Stieg Larsson, Reg Keeland",Personal,63,2024-06-05 21:02:55,1
141,The Martian,Andy Weir,Personal,18,2024-06-05 21:02:55,12
142,The Pillars of the Earth,Ken Follett,Personal,49,2024-06-05 21:02:55,2
143,UNKNOWN_142,Anthony Doerr,Personal,59,2024-06-05 21:02:55,10
144,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,Personal,72,2024-06-05 21:02:55,12
145,Deception Point,Dan Brown,Personal,60,2024-06-05 21:02:55,5
146,The Goldfinch,Donna Tartt,Personal,38,2024-06-05 21:02:55,9
147,Thirteen Reasons Why,Jay Asher,Personal,45,2024-06-05 21:02:55,3
148,Girl with a Pearl Earring,Tracy Chevalier,Personal,78,2024-06-05 21:02:55,11
149,If I Stay,Gayle Forman,Personal,45,2024-06-05 21:02:55,4
150,The Red Tent,Anita Diamant,Personal,43,2024-06-05 21:02:55,2
151,The Sea of Monsters,Rick Riordan,Personal,25,2024-06-05 21:02:55,10
152,Dear John,Nicholas Sparks,Personal,50,2024-06-05 21:02:55,12
153,City of Ashes,Cassandra Clare,Personal,74,2024-06-05 21:02:55,5
154,The Tragedy of Macbeth,William Shakespeare,Personal,80,2024-06-05 21:02:55,12
155,The Two Towers,J.R.R. Tolkien,Personal,79,2024-06-05 21:02:55,7
156,Something Borrowed,Emily Giffin,Personal,13,2024-06-05 21:02:55,5
157,Green Eggs and Ham,"Dr. Seuss, לאה נאור",Personal,70,2024-06-05 21:02:55,5
158,Charlie and the Chocolate Factory,"Roald Dahl, Quentin Blake",Personal,45,2024-06-05 21:02:55,4
159,The Battle of the Labyrinth,Rick Riordan,Personal,18,2024-06-05 21:02:55,7
160,Great Expectations,Charles Dickens,Personal,40,2024-06-05 21:02:55,4
161,The Return of the King,J.R.R. Tolkien,Personal,21,2024-06-05 21:02:55,3
162,L’Étranger,"Albert Camus, Matthew    Ward",Personal,29,2024-06-05 21:02:55,8
163,The Lost Hero,Rick Riordan,Personal,69,2024-06-05 21:02:55,8
164,Eleanor & Park,Rainbow Rowell,Personal,74,2024-06-05 21:02:55,12
165,A Feast for Crows,George R.R. Martin,Personal,59,2024-06-05 21:02:55,7
166,Matched,Ally Condie,Personal,37,2024-06-05 21:02:55,8
167,American Gods,Neil Gaiman,Personal,18,2024-06-05 21:02:55,4
168,The Stand,"Stephen King, Bernie Wrightson",Personal,62,2024-06-05 21:02:55,10
169,The Last Song,Nicholas Sparks,Personal,77,2024-06-05 21:02:55,3
170,Digital Fortress,Dan Brown,Personal,60,2024-06-05 21:02:55,9
171,Emma,"Jane Austen, Fiona Stafford",Personal,25,2024-06-05 21:02:55,8
172,Анна Каренина,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",Personal,27,2024-06-05 21:02:55,5
173,A Clockwork Orange,Anthony Burgess,Personal,40,2024-06-05 21:02:56,2
174,The Shack: Where Tragedy Confronts Eternity,William Paul Young,Personal,48,2024-06-05 21:02:56,8
175,The Last Olympian,Rick Riordan,Personal,14,2024-06-05 21:02:56,3
176,It,Stephen King,Personal,56,2024-06-05 21:02:56,5
177,Преступление и наказание,"Fyodor Dostoyevsky, David McDuff",Personal,58,2024-06-05 21:02:56,9
178,The Bell Jar,Sylvia Plath,Personal,62,2024-06-05 21:02:56,12
179,Angela's Ashes: A Memoir,Frank McCourt,Personal,69,2024-06-05 21:02:56,4
180,Siddhartha,"Hermann Hesse, Hilda Rosner",Personal,59,2024-06-05 21:02:56,7
181,In Cold Blood,Truman Capote,Personal,11,2024-06-05 21:02:56,3
182,Beautiful Creatures,"Kami Garcia, Margaret Stohl",Personal,28,2024-06-05 21:02:56,8
183,Clockwork Angel,Cassandra Clare,Personal,14,2024-06-05 21:02:56,4
184,Matilda,"Roald Dahl, Quentin Blake",Personal,41,2024-06-05 21:02:56,8
185,The Night Circus,Erin Morgenstern,Personal,78,2024-06-05 21:02:56,10
186,The Other Boleyn Girl,Philippa Gregory,Personal,60,2024-06-05 21:02:56,7
187,Uglies,Scott Westerfeld,Personal,31,2024-06-05 21:02:56,4
188,A Dance with Dragons,George R.R. Martin,Personal,17,2024-06-05 21:02:56,10
189,The Lord of the Rings,J.R.R. Tolkien,Personal,12,2024-06-05 21:02:56,9
190,Wild: From Lost to Found on the Pacific Crest Trail ,Cheryl Strayed,Personal,42,2024-06-05 21:02:56,12
191,Watchmen,"Alan Moore, Dave Gibbons, John Higgins",Personal,14,2024-06-05 21:02:56,7
192,The Name of the Wind,Patrick Rothfuss,Personal,12,2024-06-05 21:02:56,4
193,Outliers: The Story of Success,Malcolm Gladwell,Personal,75,2024-06-05 21:02:56,10
194,"Moby Dick; or, The Whale","Herman Melville, Andrew Delbanco, Tom Quirk",Personal,32,2024-06-05 21:02:56,1
195,The Guernsey Literary and Potato Peel Pie Society,"Mary Ann Shaffer, Annie Barrows",Personal,35,2024-06-05 21:02:56,2
196,Fight Club,Chuck Palahniuk,Personal,15,2024-06-05 21:02:56,8
197,Dead Until Dark,Charlaine Harris,Personal,52,2024-06-05 21:02:56,1
198,The Color Purple,Alice Walker,Personal,19,2024-06-05 21:02:56,2
199,Marley & Me: Life and Love with the World's Worst Dog,John Grogan,Personal,17,2024-06-05 21:02:56,8
200,Ten Little Niggers,Agatha Christie,Personal,43,2024-06-05 21:02:56,11
201,The Lost Symbol,Dan Brown,Personal,25,2024-06-05 21:02:56,5
202,"Hush, Hush",Becca Fitzpatrick,Personal,61,2024-06-05 21:02:56,9
203,Beautiful Disaster,Jamie McGuire,Personal,43,2024-06-05 21:02:56,11
204,A Christmas Carol,Charles Dickens,Personal,37,2024-06-05 21:02:56,12
205,Interview with the Vampire,Anne Rice,Personal,64,2024-06-05 21:02:56,1
206,The Selection,Kiera Cass,Personal,31,2024-06-05 21:02:56,5
207,One for the Money,Janet Evanovich,Personal,73,2024-06-05 21:02:56,1
208,The Immortal Life of Henrietta Lacks,Rebecca Skloot,Personal,50,2024-06-05 21:02:56,8
209,The Silence of the Lambs,Thomas Harris,Personal,54,2024-06-05 21:02:56,2
210,UNKNOWN_209,Richelle Mead,Personal,49,2024-06-05 21:02:56,10
211,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,Personal,28,2024-06-05 21:02:56,4
212,Atonement,Ian McEwan,Personal,39,2024-06-05 21:02:56,4
213,Die Verwandlung,"Franz Kafka, Stanley Corngold",Personal,34,2024-06-05 21:02:56,1
214,The Titan's Curse,Rick Riordan,Personal,47,2024-06-05 21:02:56,11
215,UNKNOWN_214,Ernest Cline,Personal,59,2024-06-05 21:02:56,3
216,The Art of Racing in the Rain,Garth Stein,Personal,61,2024-06-05 21:02:56,7
217,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America","Erik Larson, Tony Goldwyn",Personal,16,2024-06-05 21:02:56,8
218,Bared to You,Sylvia Day,Personal,73,2024-06-05 21:02:56,11
219,The Chronicles of Narnia,"C.S. Lewis, Pauline Baynes",Personal,14,2024-06-05 21:02:56,2
220,Twilight: The Complete Illustrated Movie Companion,Mark Cotta Vaz,Personal,49,2024-06-05 21:02:56,12
221,"A Child Called ""It"": One Child's Courage to Survive",Dave Pelzer,Personal,77,2024-06-05 21:02:56,12
222,The Bourne Identity,Robert Ludlum,Personal,10,2024-06-05 21:02:56,7
223,Artemis Fowl,Eoin Colfer,Personal,67,2024-06-05 21:02:56,1
224,Fallen,Lauren Kate,Personal,46,2024-06-05 21:02:56,3
225,East of Eden  ,John Steinbeck,Personal,51,2024-06-05 21:02:56,2
226,Dark Places,Gillian Flynn,Personal,40,2024-06-05 21:02:56,11
227,The Client,John Grisham,Personal,36,2024-06-05 21:02:56,8
228,The Nanny Diaries,"Emma McLaughlin, Nicola Kraus",Personal,57,2024-06-05 21:02:56,7
229,Alice's Adventures in Wonderland,"Lewis Carroll, John Tenniel, Martin Gardner",Personal,44,2024-06-05 21:02:56,8
230,Persuasion,"Jane Austen, James Kinsley, Deidre Shauna Lynch",Personal,48,2024-06-05 21:02:56,8
231,Elle s'appelait Sarah,Tatiana de Rosnay,Personal,70,2024-06-05 21:02:56,8
232,The Gunslinger,Stephen King,Personal,21,2024-06-05 21:02:56,5
233,El amor en los tiempos del cólera,"Gabriel García Márquez, Edith Grossman",Personal,61,2024-06-05 21:02:56,8
234,Speak,Laurie Halse Anderson,Personal,50,2024-06-05 21:02:56,3
235,The Husband's Secret ,Liane Moriarty,Personal,76,2024-06-05 21:02:56,3
236,Into Thin Air: A Personal Account of the Mt. Everest Disaster,Jon Krakauer,Personal,79,2024-06-05 21:02:56,11
237,Carrie,Stephen King,Personal,40,2024-06-05 21:02:56,6
238,Running with Scissors,Augusten Burroughs,Personal,79,2024-06-05 21:02:56,7
239,World War Z: An Oral History of the Zombie War,Max Brooks,Personal,19,2024-06-05 21:02:56,7
240,Inferno,Dan Brown,Personal,73,2024-06-05 21:02:56,3
241,Number the Stars,Lois Lowry,Personal,50,2024-06-05 21:02:56,5
242,Along Came a Spider,James Patterson,Personal,46,2024-06-05 21:02:56,3
243,Misery,Stephen King,Personal,66,2024-06-05 21:02:56,7
244,Sharp Objects,Gillian Flynn,Personal,12,2024-06-05 21:02:56,5
245,Bridge to Terabithia,Katherine Paterson,Personal,79,2024-06-05 21:02:56,1
246,Marked,"P.C. Cast, Kristin Cast",Personal,12,2024-06-05 21:02:56,3
247,The 7 Habits of Highly Effective People,Stephen R. Covey,Personal,22,2024-06-05 21:02:56,4
248,A Midsummer Night's Dream,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",Personal,74,2024-06-05 21:02:56,6
249,Extremely Loud and Incredibly Close,Jonathan Safran Foer,Personal,59,2024-06-05 21:02:56,9
250,Wonder,R.J. Palacio,Personal,80,2024-06-05 21:02:56,12
251,The Cat in the Hat,Dr. Seuss,Personal,11,2024-06-05 21:02:56,12
252,Cinder,Marissa Meyer,Personal,31,2024-06-05 21:02:56,10
253,The Cuckoo's Calling,"Robert Galbraith, J.K. Rowling",Personal,42,2024-06-05 21:02:56,7
254,Shiver,Maggie Stiefvater,Personal,33,2024-06-05 21:02:56,3
255,Atlas Shrugged,"Ayn Rand, Leonard Peikoff",Personal,34,2024-06-05 21:02:56,9
256,Three Cups of Tea ,"Greg Mortenson, David Oliver Relin",Personal,35,2024-06-05 21:02:56,11
257,UNKNOWN_256,"Jane Carruth, Lewis Carroll, Rene Cloke",Personal,80,2024-06-05 21:02:56,7
258,La sombra del viento,"Carlos Ruiz Zafón, Lucia Graves",Personal,30,2024-06-05 21:02:56,10
259,The Scorch Trials,James Dashner,Personal,32,2024-06-05 21:02:56,6
260,How to Win Friends and Influence People,Dale Carnegie,Personal,11,2024-06-05 21:02:56,8
261,Under the Tuscan Sun,Frances Mayes,Personal,10,2024-06-05 21:02:56,12
262,Big Little Lies,Liane Moriarty,Personal,52,2024-06-05 21:02:56,1
263,Ella Enchanted,Gail Carson Levine,Personal,26,2024-06-05 21:02:56,12
264,The Sun Also Rises,Ernest Hemingway,Personal,47,2024-06-05 21:02:56,6
265,A Tree Grows In Brooklyn ,Betty  Smith,Personal,55,2024-06-05 21:02:56,7
266,Kiss the Girls,James Patterson,Personal,77,2024-06-05 21:02:56,5
267,The Nightingale,Kristin Hannah,Personal,48,2024-06-05 21:02:56,6
268,Never Let Me Go,Kazuo Ishiguro,Personal,49,2024-06-05 21:02:56,4
269,"PS, I Love You",Cecelia Ahern,Personal,42,2024-06-05 21:02:56,7
270,Rebecca,"Daphne du Maurier, Sally Beauman",Personal,13,2024-06-05 21:02:56,11
271,Flowers for Algernon,Daniel Keyes,Personal,36,2024-06-05 21:02:56,4
272,Como agua para chocolate,"Laura Esquivel, Thomas  Christensen, Carol Christensen",Personal,76,2024-06-05 21:02:56,3
273,Snow Flower and the Secret Fan,Lisa See,Personal,39,2024-06-05 21:02:56,12
274,The Godfather,"Mario Puzo, Robert Thompson, Peter Bart",Personal,54,2024-06-05 21:02:56,6
275,An Abundance of Katherines,John Green,Personal,10,2024-06-05 21:02:56,10
276,Foundation,Isaac Asimov,Personal,61,2024-06-05 21:02:56,1
277,The Ocean at the End of the Lane,Neil Gaiman,Personal,49,2024-06-05 21:02:56,4
278,A Light in the Attic,Shel Silverstein,Personal,71,2024-06-05 21:02:56,1
279,"Harry Potter and the Cursed Child, Parts One and Two","John Tiffany, Jack Thorne, J.K. Rowling",Personal,10,2024-06-05 21:02:56,11
280,Delirium,Lauren Oliver,Personal,37,2024-06-05 21:02:56,5
281,The Pelican Brief,John Grisham,Personal,73,2024-06-05 21:02:56,3
282,Coraline,Neil Gaiman,Personal,59,2024-06-05 21:02:56,2
283,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Terry Pratchett, Neil Gaiman",Personal,78,2024-06-05 21:02:56,9
284,On the Road,Jack Kerouac,Personal,30,2024-06-05 21:02:56,12
285,The Rosie Project,Graeme Simsion,Personal,60,2024-06-05 21:02:56,1
286,The Lucky One,Nicholas Sparks,Personal,17,2024-06-05 21:02:56,4
287,The Fountainhead,"Ayn Rand, Leonard Peikoff",Personal,34,2024-06-05 21:02:56,6
288,The Hunt for Red October,Tom Clancy,Personal,25,2024-06-05 21:02:56,7
289,Watership Down,Richard Adams,Personal,13,2024-06-05 21:02:56,11
290,Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy Kaling,Personal,74,2024-06-05 21:02:56,12
291,Cutting for Stone,Abraham Verghese,Personal,13,2024-06-05 21:02:56,10
292,The Voyage of the Dawn Treader,"C.S. Lewis, Pauline Baynes",Personal,66,2024-06-05 21:02:56,6
293,Treasure Island,Robert Louis Stevenson,Personal,79,2024-06-05 21:02:56,2
294,The Son of Neptune ,Rick Riordan,Personal,74,2024-06-05 21:02:56,6
295,11/22/63,Stephen King,Personal,35,2024-06-05 21:02:56,12
296,The Very Hungry Caterpillar,Eric Carle,Personal,75,2024-06-05 21:02:56,7
297,Cat's Cradle,Kurt Vonnegut Jr.,Personal,21,2024-06-05 21:02:56,7
298,The Time Machine,"H.G. Wells, Greg Bear, Carlo Pagetti",Personal,66,2024-06-05 21:02:56,7
299,UNKNOWN_298,"Todd Burpo, Lynn Vincent",Personal,27,2024-06-05 21:02:56,3
300,The Boy in the Striped Pyjamas,John Boyne,Personal,21,2024-06-05 21:02:56,5
301,Heart of Darkness,Joseph Conrad,Personal,37,2024-06-05 21:02:56,1
302,Safe Haven,Nicholas Sparks,Personal,37,2024-06-05 21:02:57,6
303,The Secret,Rhonda Byrne,Personal,78,2024-06-05 21:02:57,7
304,I Know This Much Is True ,Wally Lamb,Personal,13,2024-06-05 21:02:57,6
305,Pet Sematary,Stephen King,Personal,79,2024-06-05 21:02:57,9
